Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Dist,BldgCode,Address,Zip,City,Type,Address,Lat,Lon
Central Park East I,Dist: 4<br>BldgCode: M013<br>Address: 1573 MADISON AVENUE<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M013,1573 MADISON AVENUE,10029,Manhattan,Feeding Site,"1573 MADISON AVENUE Manhattan, NY 10029",40.7936872,-73.9486109
Central Park East High School,Dist: 4<br>BldgCode: M013<br>Address: 1573 MADISON AVENUE<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M013,1573 MADISON AVENUE,10029,Manhattan,Feeding Site,"1573 MADISON AVENUE Manhattan, NY 10029",40.7936872,-73.9486109
Frederick Douglass Academy,Dist: 5<br>BldgCode: M010<br>Address: 2581 7TH AVENUE<br>Zip: 10039<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M010,2581 7TH AVENUE,10039,Manhattan,Feeding Site,"2581 7TH AVENUE Manhattan, NY 10039",40.8243981,-73.936545
P.S. 036 Margaret Douglas,Dist: 5<br>BldgCode: M036<br>Address: 123 MORNINGSIDE DRIVE<br>Zip: 10027<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M036,123 MORNINGSIDE DRIVE,10027,Manhattan,Feeding Site,"123 MORNINGSIDE DRIVE Manhattan, NY 10027",40.810705,-73.957404
P.S. 046 Arthur Tappan,Dist: 5<br>BldgCode: M046<br>Address: 2987 FREDERICK DOUGLASS BOULEVARD<br>Zip: 10039<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M046,2987 FREDERICK DOUGLASS BOULEVARD,10039,Manhattan,Feeding Site,"2987 FREDERICK DOUGLASS BOULEVARD Manhattan, NY 10039",40.8316474,-73.936074
P.S. 123 Mahalia Jackson,Dist: 5<br>BldgCode: M123<br>Address: 301 WEST 140 STREET<br>Zip: 10030<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M123,301 WEST 140 STREET,10030,Manhattan,Feeding Site,"301 WEST 140 STREET Manhattan, NY 10030",40.8203373,-73.9443402
P.S. 133 Fred R Moore,Dist: 5<br>BldgCode: M133<br>Address: 2121 5 AVENUE<br>Zip: 10037<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M133,2121 5 AVENUE,10037,Manhattan,Feeding Site,"2121 5 AVENUE Manhattan, NY 10037",40.8098605,-73.9392692
P.S. 154 Harriet Tubman,Dist: 5<br>BldgCode: M154<br>Address: 250 WEST 127 STREET<br>Zip: 10027<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M154,250 WEST 127 STREET,10027,Manhattan,Feeding Site,"250 WEST 127 STREET Manhattan, NY 10027",40.8106338,-73.9487487
P.S. 161 Pedro Albizu Campos,Dist: 5<br>BldgCode: M161<br>Address: 499 WEST 133 STREET<br>Zip: 10027<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M161,499 WEST 133 STREET,10027,Manhattan,Feeding Site,"499 WEST 133 STREET Manhattan, NY 10027",40.8177552,-73.9524683
Thurgood Marshall Academy Lower School,Dist: 5<br>BldgCode: M371<br>Address: 276 WEST 151ST STREET<br>Zip: 10039<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M371,276 WEST 151ST STREET,10039,Manhattan,Feeding Site,"276 WEST 151ST STREET Manhattan, NY 10039",40.8258675,-73.9378107
