Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Geographic__District,Building_Code,Address,Zip_Code,Borough,Type,Full Address,Lat,Lon
BROWNSVILLE DIPLOMA PLUS HS - K,Geographic  District: 17<br>Building Code: K907<br>Address: 1150 EAST NEW YORK AVENUE<br>Zip Code: 11212<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,17,K907,1150 EAST NEW YORK AVENUE,11212,Brooklyn,Community School & DYCD,"1150 EAST NEW YORK AVENUE Brooklyn, NY 11212",40.6662946,-73.9239496
P.S. 181 - BROOKLYN,Geographic  District: 17<br>Building Code: K181<br>Address: 1023 NEW YORK AVENUE<br>Zip Code: 11203<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,17,K181,1023 NEW YORK AVENUE,11203,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"1023 NEW YORK AVENUE Brooklyn, NY 11203",40.6480961,-73.9459934
P.S. 66 - BROOKLYN,Geographic  District: 18<br>Building Code: K066<br>Address: 845 EAST  96 STREET<br>Zip Code: 11236<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,18,K066,845 EAST  96 STREET,11236,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"845 EAST  96 STREET Brooklyn, NY 11236",40.6487279,-73.9067261
P.S. 114 - BROOKLYN,Geographic  District: 18<br>Building Code: K114<br>Address: 1077 REMSEN AVENUE<br>Zip Code: 11236<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,18,K114,1077 REMSEN AVENUE,11236,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"1077 REMSEN AVENUE Brooklyn, NY 11236",40.6425436,-73.9080304
SPRING CREEK EDUCATIONAL CAMPUS - BROOKLYN,Geographic  District: 19<br>Building Code: K422<br>Address: 1065 ELTON STREET<br>Zip Code: 11208<br>Borough: Brooklyn<br>Type: Community School & DYCD,,,,,,,-1,,,19,K422,1065 ELTON STREET,11208,Brooklyn,Community School & DYCD,"1065 ELTON STREET Brooklyn, NY 11208",40.6572453,-73.8740662
CYPRESS HILLS COMMUNITY SCHOOL - BROOKLYN,Geographic  District: 19<br>Building Code: K814<br>Address: 265 WARWICK STREET<br>Zip Code: 11207<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,19,K814,265 WARWICK STREET,11207,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"265 WARWICK STREET Brooklyn, NY 11207",40.6777898,-73.886699
P.S. 229 - BROOKLYN,Geographic  District: 20<br>Building Code: K229<br>Address: 1400 BENSON AVENUE<br>Zip Code: 11228<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,20,K229,1400 BENSON AVENUE,11228,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"1400 BENSON AVENUE Brooklyn, NY 11228",40.6105585,-74.0131655
P.S. 205 - BROOKLYN,Geographic  District: 20<br>Building Code: K205<br>Address: 6701 20 AVENUE<br>Zip Code: 11204<br>Borough: Brooklyn<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,20,K205,6701 20 AVENUE,11204,Brooklyn,Community School or DYCD with a pre-K or LYFE Center,"6701 20 AVENUE Brooklyn, NY 11204",40.6147564,-73.9870892
District 20 Pre-K Center at 550 59th Street,Geographic  District: 20<br>Building Code: K560<br>Address: 550 59 Street<br>Zip Code: 11220<br>Borough: Brooklyn<br>Type: Standalone Pre-K Site,,,,,,,-1,,,20,K560,550 59 Street,11220,Brooklyn,Standalone Pre-K Site,"550 59 Street Brooklyn, NY 11220",40.6392192,-74.0143789
P.S. 69 - BROOKLYN,Geographic  District: 20<br>Building Code: K069<br>Address: 6302 9TH AVENUE<br>Zip Code: 11220<br>Borough: Brooklyn<br>Type: Filling Geographic Gaps,,,,,,,-1,,,20,K069,6302 9TH AVENUE,11220,Brooklyn,Filling Geographic Gaps,"6302 9TH AVENUE Brooklyn, NY 11220",40.6325625,-74.0097243
